ANIO,TIPO_UNIV,NIVEL_ACADEM,OF_ACADEM,DISCIP_OCDE,DISCIP_ESPECIF,TIPO_ALUMNO,U_MED,VALOR
2014,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,124
2014,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.475
2014,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,119
2014,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,2.134
2014,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,2
2014,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,26
2014,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,30
2014,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,92
2014,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,2
2014,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,53
2014,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,111
2014,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.105
2014,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,1.646
2014,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,29.972
2014,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,985
2014,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,21.850
2014,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,51
2014,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,499
2014,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,38
2014,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,320
2014,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,56
2014,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,490
2014,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,95
2014,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,885
2014,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,74
2014,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,992
2014,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,28
2014,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,288
2014,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,255
2014,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,4.621
2014,Publica,Pregrado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,1
2014,Publica,Pregrado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,7
2015,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,146
2015,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.535
2015,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,107
2015,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,2.380
2015,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,1
2015,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,10
2015,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,16
